no,country_name,2000_Reading,2000_Mathematics,2000_Science,2003_Reading,2003_Mathematics,2003_Science,2006_Reading,2006_Mathematics,2006_Science,2009_Reading,2009_Mathematics,2009_Science,2012_Reading,2012_Mathematics,2012_Science,2015_Reading,2015_Mathematics,2015_Science,2018_Reading,2018_Mathematics,2018_Science,2022_Reading,2022_Mathematics,2022_Science
1,Singapore,,,,,,,,,,526,562,542,542,573,551,535,564,556,549,569,551,543,575,561
2,Japan,522,557,550,498,534,548,498,523,531,520,529,539,538,536,547,516,532,538,504,527,529,516,536,547
3,Macao (China),,,,,527,525,492,525,511,487,525,511,509,538,521,509,544,529,525,558,544,510,552,543
4,Taiwan,,,,,,,496,549,532,495,543,520,523,560,523,497,542,532,503,531,516,515,547,537
5,Korea,525,547,552,534,542,538,556,547,522,539,546,538,536,554,538,517,524,516,514,526,519,527,527,528
6,Estonia,,,,,,,501,515,531,501,512,528,516,521,541,519,520,534,523,523,530,511,510,526
7,Hong Kong,525,560,541,510,550,539,536,547,542,533,555,549,545,561,555,527,548,523,524,551,517,500,540,520
8,Canada,534,533,529,528,532,519,527,527,534,524,527,529,523,518,525,527,516,528,520,512,518,507,497,515
9,Finland,546,536,538,543,544,548,547,548,563,536,541,554,524,519,545,526,511,531,520,507,522,490,484,511
10,Australia,528,533,528,525,524,525,513,520,527,515,514,527,512,504,521,503,494,510,503,491,503,498,487,507
11,Ireland,527,503,513,515,503,505,517,501,508,496,487,508,523,501,522,521,504,503,518,500,496,516,492,504
12,New Zealand,529,537,528,522,523,521,521,522,530,521,519,532,512,500,516,509,495,513,506,494,508,501,479,504
13,Switzerland,494,529,496,499,527,513,499,530,512,501,534,517,509,531,515,492,521,506,484,515,495,483,508,503
14,United Kingdom,523,529,532,507,508,,495,495,515,494,492,514,499,494,514,498,492,509,504,502,505,494,489,500
15,Slovenia,,,,,,,494,504,519,483,501,512,481,501,514,505,510,513,495,509,507,469,485,500
16,Poland,479,470,483,497,490,498,508,495,498,500,495,508,518,518,526,506,504,601,512,516,511,489,489,499
17,United States,504,493,499,495,483,491,,474,489,500,487,502,498,481,497,497,470,496,505,478,502,504,465,499
18,Czech Republic,492,498,511,489,516,523,483,510,513,478,493,500,493,499,508,487,492,493,490,499,497,489,487,498
